;time stamp;error code
0;2023-02-18 20:17:26;4
0;2023-02-18 20:22:09;4
0;2023-02-18 20:23:42;4
0;2023-02-18 20:24:43;4
0;2023-02-18 20:25:13;4
0;2023-02-18 20:25:51;4
0;2023-02-18 20:26:14;4
0;2023-02-18 20:26:39;4
0;2023-02-18 20:27:06;4
0;2023-02-18 22:28:06;4
0;2023-02-18 22:29:13;4
0;2023-02-19 10:42:56;4
0;2023-02-19 10:44:03;4
0;2023-02-19 10:45:43;4
0;2023-02-19 10:46:23;4
0;2023-02-19 10:47:24;4
0;2023-02-19 15:24:53;4
0;2023-02-19 15:57:26;4
0;2023-02-19 15:59:59;4
0;2023-02-19 16:11:41;4
0;2023-02-19 16:13:39;4
0;2023-02-19 16:14:50;4
0;2023-02-19 16:16:28;4
0;2023-02-19 20:01:31;4
0;2023-02-19 20:05:06;4
0;2023-02-19 23:05:40;4
0;2023-02-19 23:07:43;4
0;2023-02-20 10:55:00;4
0;2023-02-20 11:29:14;4
0;2023-02-20 11:29:55;4
0;2023-02-20 11:45:40;4
0;2023-02-20 11:50:42;4
0;2023-02-20 11:51:22;4
0;2023-02-20 11:51:46;4
0;2023-02-20 11:52:24;4
0;2023-02-20 11:52:38;4
0;2023-02-20 11:52:51;4
0;2023-02-20 11:53:02;4
0;2023-02-20 11:54:50;4
0;2023-02-20 11:55:59;4
0;2023-02-20 13:33:47;4
0;2023-02-20 13:41:10;4
0;2023-02-20 13:41:35;4
0;2023-02-20 13:49:04;4
0;2023-02-20 13:49:18;4
0;2023-02-20 13:54:00;4
0;2023-02-20 14:07:25;4
0;2023-02-20 17:33:09;8
0;2023-02-20 17:33:24;8
0;2023-02-20 17:33:24;8
0;2023-02-20 17:38:31;4
0;2023-02-20 17:38:31;4
0;2023-02-20 18:31:09;4
0;2023-02-20 18:31:10;4
0;2023-02-20 18:31:10;4
0;2023-02-20 18:41:40;6
0;2023-02-20 18:43:24;6
0;2023-02-20 18:43:30;6
0;2023-02-20 18:43:35;6
0;2023-02-20 18:47:51;4
0;2023-02-20 18:47:51;4
